,EMPLOYER,JOB TITLE,BASE SALARY,LOCATION,SUBMIT DATE,START DATE
1073,TECH IT SOLUTIONS INC,DATA ANALYST,"90,750","RICHMOND, VA",03/10/2022,03/11/2022
1074,EXLSERVICECOM LLC,DATA ANALYST,"90,750","AUSTIN, TX",05/09/2022,05/13/2022
1075,VORIZO INFO TECH INC,DATA ANALYST,"90,750","CEDAR PARK, TX",05/23/2022,10/01/2022
1076,CRITICAL PATH INSTITUTE,DATA ANALYST,"90,822","FOSTER CITY, CA",09/28/2022,10/07/2022
1077,SARGENTO FOODS INC,DATA ANALYST,"90,871","PLYMOUTH, WI",04/27/2022,10/14/2022
1078,YANTRATEK LLC,DATA ANALYST,"91,000","ROUND ROCK, TX",06/08/2022,10/01/2022
1079,YANTRATEK LLC,DATA ANALYST,"91,000","ROUND ROCK, TX",06/18/2022,10/01/2022
1080,YANTRATEK LLC,DATA ANALYST,"91,000","ROUND ROCK, TX",06/18/2022,10/01/2022
1081,PACTERA TECHNOLOGIES INC,DATA ANALYST,"91,021","REDMOND, WA",05/06/2022,08/06/2022
1082,CAREMETX LLC,DATA ANALYST,"91,042","ROCKVILLE, MD",07/01/2022,09/06/2022
1083,INOVALON INC,DATA ANALYST,"91,042","BOWIE, MD",04/08/2022,10/01/2022
1084,INOVALON INC,DATA ANALYST,"91,042","BELLEVUE, WA",08/26/2022,10/01/2022
1085,CISCO SYSTEMS INC,DATA ANALYST,"91,042","HERNDON, VA",04/21/2022,05/01/2022
1086,KEYU TECH LLC,DATA ANALYST,"91,125","FREMONT, CA",05/07/2022,10/01/2022
1087,KEYU TECH LLC,DATA ANALYST,"91,125","FREMONT, CA",05/09/2022,10/01/2022
1088,KEYU TECH LLC,DATA ANALYST,"91,125","FREMONT, CA",05/17/2022,10/01/2022
1089,TECHNOGEN INC,DATA ANALYST,"91,125","SAN FRANCISCO, CA",06/14/2022,10/01/2022
1090,INFOTEK GROUPS INC,DATA ANALYST,"91,229","NOVI, MI",07/29/2022,08/08/2022
1091,COMPREHENSIVE RESOURCES INC,DATA ANALYST,"91,270","NEW YORK, NY",09/28/2022,10/17/2022
1092,INFOWEB SYSTEMS INC,DATA ANALYST,"91,400","EAST MOLINE, IL",01/25/2022,06/25/2022
1093,USM BUSINESS SYTEMS INC,DATA ANALYST,"91,600","WOONSOCKET, RI",04/27/2022,10/01/2022
1094,PINION SERVICES INC,DATA ANALYST,"91,624","CHICAGO, IL",07/07/2022,09/06/2022
1095,CINCINNATI CITY SCHOOL DISTRICT,DATA ANALYST,"91,719","CINCINNATI, OH",03/04/2022,03/04/2022
1096,IPC INTERNATIONAL INC,DATA ANALYST,"91,788","BANNOCKBURN, IL",04/27/2022,10/01/2022
1097,NUERALINKS LLC,DATA ANALYST,"91,874","SAN ANTONIO, TX",04/25/2022,10/01/2022
1098,ARNEX SOLUTIONS LLC,DATA ANALYST,"91,874","SAN ANTONIO, TX",06/16/2022,10/01/2022
1099,ITECH-GO LLC,DATA ANALYST,"92,000","CLARKSTON, MI",07/18/2022,09/05/2022
1100,CITIUSTECH INC,DATA ANALYST,"92,000","FRANKLIN, TN",08/22/2022,09/05/2022
1101,EXCEL IMPACT LLC,DATA ANALYST,"92,000","LUBBOCK, TX",04/15/2022,04/22/2022
1102,ISOFTSTONE INC,DATA ANALYST,"92,000","KIRKLAND, WA",01/11/2022,06/27/2022
1103,LEVI STRAUSS & CO,DATA ANALYST,"92,000","SAN FRANCISCO, CA",02/10/2022,02/21/2022
1104,LEVI STRAUSS & CO,DATA ANALYST,"92,000","SAN FRANCISCO, CA",02/10/2022,02/21/2022
1105,EXCEL IMPACT LLC,DATA ANALYST,"92,000","LUBBOCK, TX",04/15/2022,04/22/2022
1106,CITIUSTECH INC,DATA ANALYST,"92,000","TROY, MI",09/12/2022,09/26/2022
1107,TELTECH SYSTEMS INC,DATA ANALYST,"92,000","NEW YORK, NY",05/06/2022,10/01/2022
1108,PERSADO INC,DATA ANALYST,"92,000","NEW YORK, NY",05/16/2022,10/01/2022
1109,LGL TECHNOLOGIES LLC,DATA ANALYST,"92,082","EAGLEVILLE, PA",05/03/2022,05/13/2022
1110,VTRIX TECHNOLOGIES INC,DATA ANALYST,"92,082","MALVERN, PA",05/12/2022,10/01/2022
1111,VENTOIS INC,DATA ANALYST,"92,102","ATLANTA, GA",03/04/2022,03/04/2022
1112,VENTOIS INC,DATA ANALYST,"92,102","LEANDER, TX",03/04/2022,03/04/2022
1113,CLOUD BRIDGE SOLUTIONS INC,DATA ANALYST,"92,102","HUNTSVILLE, AL",05/05/2022,10/01/2022
1114,HELISHORES INC,DATA ANALYST,"92,250","PISCATAWAY, NJ",06/16/2022,10/01/2022
1115,ARDOR IT SOLUTIONS INC,DATA ANALYST,"92,290","EDEN PRAIRIE, MN",06/17/2022,10/01/2022
1116,CENTERFIELD MEDIA HOLDING COMPANY,DATA ANALYST,"92,400","LOS ANGELES, CA",07/26/2022,01/16/2023
1117,VERINON TECHNOLOGY SOLUTIONS LTD,DATA ANALYST,"92,560","FORT LAUDERDALE, FL",03/09/2022,03/21/2022
1118,RADUS TEK SERVICES INC,DATA ANALYST,"92,560","SHORT HILLS, NJ",03/23/2022,03/23/2022
1119,UNIFIED TECH GROUP INC,DATA ANALYST,"92,560","WHITE PLAINS, NY",05/13/2022,10/01/2022
1120,ENVIRTA TECHNOLOGIES LLC,DATA ANALYST,"92,560","WHITEHOUSE STATION, NJ",06/16/2022,10/01/2022
1121,CAREER SOFT SOLUTIONS INC,DATA ANALYST,"92,560","JERSEY CITY, NJ",06/21/2022,10/01/2022
1122,AZEE SYSTEMS INC,DATA ANALYST,"92,685","HOUSTON, TX",05/24/2022,10/01/2022
1123,AZEE SYSTEMS INC,DATA ANALYST,"92,685","HOUSTON, TX",06/06/2022,10/01/2022
1124,PIXEL LABS LLC,DATA ANALYST,"92,914","ROCHESTER, NY",01/26/2022,02/28/2022
1125,PROGRESSIVE CASUALTY INSURANCE COMPANY,DATA ANALYST,"92,976","ATLANTA, GA",06/08/2022,07/11/2022
1126,UNIVERSITY OF ILLINOIS,DATA ANALYST,"93,000","URBANA, IL",12/07/2022,01/01/2023
1127,RELIABLE SOFTWARE RESOURCES,DATA ANALYST,"93,000","MORRISTOWN, NJ",06/29/2022,07/07/2022
1128,SAIPSIT INC,DATA ANALYST,"93,000","ATLANTA, GA",08/29/2022,09/06/2022
1129,RELIABLE SOFTWARE RESOURCES,DATA ANALYST,"93,000","MORRISTOWN, NJ",06/29/2022,07/07/2022
1130,MAVIRIK SOLUTIONS LLC,DATA ANALYST,"93,309","ONTARIO, CA",07/01/2022,07/07/2022
1131,CODEFIED INC,DATA ANALYST,"93,500","LA JOLLA, CA",04/20/2022,10/01/2022
1132,RANDSTAD GENERAL PARTNER (US) LLC,DATA ANALYST,"93,600","TAMPA, FL",03/07/2022,09/03/2022
1133,PHILIPS NORTH AMERICA LLC,DATA ANALYST,"93,621","CAMBRIDGE, MA",05/16/2022,05/30/2022
1134,RYDER SYSTEM INC,DATA ANALYST,"93,650","NOVI, MI",03/24/2022,07/14/2022
1135,EXCELON SOLUTIONS LLC,DATA ANALYST,"93,683","MIDLAND, TX",05/11/2022,05/19/2022
1136,CENSIA INC,DATA ANALYST,"93,725","ADDISON, TX",11/29/2022,11/30/2022
1137,UBER TECHNOLOGIES INC,DATA ANALYST,"93,725","SAN FRANCISCO, CA",03/30/2022,09/25/2022
1138,SERVICENOW INC,DATA ANALYST,"93,725","SAN FRANCISCO, CA",02/10/2022,08/05/2022
1139,DEXTERITY INC,DATA ANALYST,"93,725","REDWOOD CITY, CA",06/15/2022,10/01/2022
1140,WAVESOFT SOLUTIONS INC,DATA ANALYST,"93,870","HERNDON, VA",05/10/2022,10/01/2022
1141,HEALTH PAYROLL SERVICES LLC,DATA ANALYST,"93,870","ASHBURN, VA",05/12/2022,10/01/2022
1142,AMERICAN PSYCHIATRIC ASSOCIATION,DATA ANALYST,"94,000","WASHINGTON, DC",10/24/2022,11/07/2022
1143,CARL ZEISS INDUSTRIAL METROLOGY LLC,DATA ANALYST,"94,000","MAPLE GROVE, MN",03/09/2022,09/07/2022
1144,KUNOSOLTECH LLC,DATA ANALYST,"94,000","PISCATAWAY, NJ",06/09/2022,10/01/2022
1145,LEANTAAS INC,DATA ANALYST,"94,000","SANTA CLARA, CA",06/10/2022,10/01/2022
1146,VSION TECHNOLOGIES INC,DATA ANALYST,"94,016","GREENWOOD VILLAGE, CO",06/13/2022,10/01/2022
1147,MEGHAZ INC,DATA ANALYST,"94,037","COPPELL, TX",02/10/2022,02/18/2022
1148,KEEN INFO TEK INC,DATA ANALYST,"94,037","RICHARDSON, TX",06/09/2022,10/01/2022
1149,FUSION CONSULTING INC,DATA ANALYST,"94,037","FARMERS BRANCH, TX",04/29/2022,10/01/2022
1150,FUSION CONSULTING INC,DATA ANALYST,"94,037","FRISCO, TX",04/29/2022,10/01/2022
1151,FUSION CONSULTING INC,DATA ANALYST,"94,037","FARMERS BRANCH, TX",04/29/2022,10/01/2022
1152,TEK LEADERS INC,DATA ANALYST,"94,037","CHICAGO, IL",05/06/2022,10/01/2022
1153,WAYPOINT DATA SOLUTIONS LLC,DATA ANALYST,"94,037","COPPELL, TX",05/11/2022,10/01/2022
1154,WAYPOINT DATA SOLUTIONS LLC,DATA ANALYST,"94,037","COPPELL, TX",05/11/2022,10/01/2022
1155,PRODAPT NORTH AMERICA,DATA ANALYST,"94,037","IRVING, TX",05/13/2022,10/01/2022
1156,N9 IT SOLUTIONS LLC,DATA ANALYST,"94,037","RICHMOND, VA",05/19/2022,10/01/2022
1157,LAKHI INFORMATION TECHNOLOGIESINC,DATA ANALYST,"94,037","RICHARDSON, TX",05/27/2022,10/01/2022
1158,PEGASYS SOFTWARE INC,DATA ANALYST,"94,037","FRISCO, TX",06/02/2022,10/01/2022
1159,DIGITALIS INC,DATA ANALYST,"94,037","IRVING, TX",06/03/2022,10/01/2022
1160,LORSHI SYSTEMS LLC,DATA ANALYST,"94,037","RICHARDSON, TX",06/06/2022,10/01/2022
1161,KEEN INFO TEK INC,DATA ANALYST,"94,037","RICHARDSON, TX",06/09/2022,10/01/2022
1162,UNICON SYSTEMS INC,DATA ANALYST,"94,037","FARMERS BRANCH, TX",06/10/2022,10/01/2022
1163,ZENITH INFOTEK LLC,DATA ANALYST,"94,037","LEWISVILLE, TX",06/13/2022,10/01/2022
1164,ZENITH INFOTEK LLC,DATA ANALYST,"94,037","LEWISVILLE, TX",06/17/2022,10/01/2022
1165,KEEN INFO TEK INC,DATA ANALYST,"94,037","RICHARDSON, TX",06/18/2022,10/01/2022
1166,CONFLUX SYSTEMS INC,DATA ANALYST,"94,078","LOS ANGELES, CA",09/19/2022,09/28/2022
1167,SUCCESS IN CLOUD INC,DATA ANALYST,"94,100","DALLAS, TX",05/26/2022,10/01/2022
1168,SWARTEK CORPORATION,DATA ANALYST,"94,100","ANNA, TX",06/17/2022,10/01/2022
1169,V3TECH SOLUTIONS INC,DATA ANALYST,"94,500","WARREN, MI",05/02/2022,10/01/2022
1170,HELI CONSULTING LLC,DATA ANALYST,"94,500","IRVING, TX",05/31/2022,10/01/2022
1171,HELI CONSULTING LLC,DATA ANALYST,"94,500","IRVING, TX",05/31/2022,10/01/2022
1172,FORTUNE MINDS INC,DATA ANALYST,"94,723","STERLING, VA",06/21/2022,10/01/2022
1173,RANDSTAD TECHNOLOGIES LLC,DATA ANALYST,"94,764","URBANA, IL",10/20/2022,10/27/2022
1174,JAVANTECH INC,DATA ANALYST,"94,806","CARY, NC",05/04/2022,10/01/2022
1175,COGNAC SYSTEMS INC,DATA ANALYST,"94,827","METUCHEN, NJ",08/22/2022,10/01/2022
1176,COGNAC SYSTEMS INC,DATA ANALYST,"94,827","SAN JOSE, CA",08/22/2022,10/01/2022
1177,FINSOFT CONSULTANTS INC,DATA ANALYST,"94,900","DURHAM, NC",03/28/2022,03/29/2022
1178,MPG OPERATIONS LLC,DATA ANALYST,"94,973","NEW YORK, NY",04/19/2022,10/01/2022
1179,MPG OPERATIONS LLC,DATA ANALYST,"94,973","NEW YORK, NY",05/05/2022,10/01/2022
1180,MPG OPERATIONS LLC,DATA ANALYST,"94,973","NEW YORK, NY",06/14/2022,08/22/2022
1181,STEWARD ST ELIZABETH'S MEDICAL CENTER OF BOSTON INC,DATA ANALYST,"95,000","BRIGHTON, MA",07/15/2022,12/02/2022
1182,NYU GROSSMAN SCHOOL OF MEDICINE,DATA ANALYST,"95,000","NEW YORK, NY",07/22/2022,08/01/2022
1183,LAKEVIEW LOAN SERVICING LLC,DATA ANALYST,"95,000","FORT LAUDERDALE, FL",03/04/2022,08/09/2022
1184,LAKEVIEW LOAN SERVICING LLC,DATA ANALYST,"95,000","FORT LAUDERDALE, FL",03/16/2022,08/09/2022
1185,CALAMP WIRELESS NETWORKS CORPORATION,DATA ANALYST,"95,000","RICHARDSON, TX",03/18/2022,09/15/2022
1186,RANDSTAD TECHNOLOGIES LLC,DATA ANALYST,"95,000","JERSEY CITY, NJ",04/06/2022,10/01/2022
1187,CONFLUX SYSTEMS INC,DATA ANALYST,"95,000","IRVING, TX",04/09/2022,10/01/2022
1188,CONFLUX SYSTEMS INC,DATA ANALYST,"95,000","IRVING, TX",04/09/2022,10/01/2022
1189,CONNECTED CARE RESOURCES INC,DATA ANALYST,"95,000","NEWPORT BEACH, CA",04/11/2022,10/01/2022
1190,VOLVO GROUP NORTH AMERICA LLC,DATA ANALYST,"95,000","GREENSBORO, NC",04/18/2022,10/01/2022
1191,RISKSPAN INC,DATA ANALYST,"95,000","ARLINGTON, VA",02/24/2022,08/22/2022
1192,GUIDELINE INC,DATA ANALYST,"95,000","AUSTIN, TX",04/22/2022,10/01/2022
1193,GUIDELINE INC,DATA ANALYST,"95,000","AUSTIN, TX",04/22/2022,10/01/2022
1194,BIONANO GENOMICS INC,DATA ANALYST,"95,000","BOSTON, MA",05/09/2022,05/23/2022
1195,CYBERBRIDGE INTERNATIONAL,DATA ANALYST,"95,000","SCHAUMBURG, IL",05/13/2022,10/01/2022
1196,NOVAGIGS INC,DATA ANALYST,"95,000","JERSEY CITY, NJ",05/17/2022,10/01/2022
1197,NOVAGIGS INC,DATA ANALYST,"95,000","BAYONE, NJ",05/24/2022,10/01/2022
1198,SAN DIEGO FARMS LLC,DATA ANALYST,"95,000","SAN MARCOS, CA",05/26/2022,10/01/2022
1199,PRN IT CORP INC,DATA ANALYST,"95,000","VIENNA, VA",05/27/2022,10/01/2022
1200,GALAXY I TECHNOLOGIES INC,DATA ANALYST,"95,000","LAS VEGAS, NV",06/06/2022,10/01/2022
1201,GALAXY I TECHNOLOGIES INC,DATA ANALYST,"95,000","CHANDLER, AZ",06/08/2022,10/01/2022
1202,NYU GROSSMAN SCHOOL OF MEDICINE,DATA ANALYST,"95,000","NEW YORK, NY",06/10/2022,07/18/2022
1203,NYU GROSSMAN SCHOOL OF MEDICINE,DATA ANALYST,"95,000","NEW YORK, NY",06/10/2022,07/01/2022
1204,FINHABITS INC,DATA ANALYST,"95,000","NEW YORK, NY",06/21/2022,10/01/2022
1205,FINHABITS INC,DATA ANALYST,"95,000","NEW YORK, NY",06/21/2022,10/01/2022
1206,CAREER SOFT SOLUTIONS INC,DATA ANALYST,"95,014","JERSEY CITY, NJ",11/15/2022,11/28/2022
1207,ESUSU FINANCIAL INC,DATA ANALYST,"95,238","NEW YORK, NY",05/09/2022,10/01/2022
1208,TERADATA OPERATIONS INC,DATA ANALYST,"95,285","DALLAS, TX",01/19/2022,04/08/2022
1209,TERADATA OPERATIONS INC,DATA ANALYST,"95,285","IRVING, TX",01/19/2022,04/08/2022
1210,DOTS TECHNOLOGIES INC,DATA ANALYST,"95,555","IRVING, TX",06/28/2022,12/27/2022
1211,VIRTUAL LABS INC,DATA ANALYST,"95,555","MCKINNEY, TX",05/09/2022,10/01/2022
1212,HEALTH PAYROLL SERVICES LLC,DATA ANALYST,"95,680","NEW YORK, NY",03/03/2022,04/05/2022
1213,AFINITI INC,DATA ANALYST,"95,784","WASHINGTON, DC",04/28/2022,10/01/2022
1214,PICKUP NOW INC,DATA ANALYST,"95,867","PLANO, TX",04/22/2022,10/01/2022
1215,AMAZONCOM SERVICES LLC,DATA ANALYST,"95,900","ARLINGTON, VA",07/28/2022,08/08/2022
1216,AMAZONCOM SERVICES LLC,DATA ANALYST,"95,900","ARLINGTON, VA",08/01/2022,08/08/2022
1217,AMAZONCOM SERVICES LLC,DATA ANALYST,"95,900","ARLINGTON, VA",08/03/2022,08/22/2022
1218,AMAZONCOM SERVICES LLC,DATA ANALYST,"95,900","ARLINGTON, VA",08/03/2022,08/22/2022
1219,SIRI INFOSOLUTIONS INC,DATA ANALYST,"96,000","RICHMOND, VA",07/11/2022,07/25/2022
1220,VENTOIS INC,DATA ANALYST,"96,000","CUMMING, GA",10/18/2022,10/18/2022
1221,FETCH REWARDS INC,DATA ANALYST,"96,000","NEW YORK, NY",01/05/2022,01/17/2022
1222,DATA AFFECT LLC,DATA ANALYST,"96,000","SCHAUMBURG, IL",01/13/2022,01/13/2022
1223,MELLOW SOFT INC,DATA ANALYST,"96,000","CHARLOTTE, NC",05/09/2022,10/01/2022
1224,ISITE TECHNOLOGIES INC,DATA ANALYST,"96,158","MCLEAN, VA",07/12/2022,11/29/2022
1225,ISITE TECHNOLOGIES INC,DATA ANALYST,"96,158","MCLEAN, VA",10/07/2022,11/29/2022
1226,ISITE TECHNOLOGIES INC,DATA ANALYST,"96,158","MCLEAN, VA",09/15/2022,11/29/2022
1227,CITY OF COLLEGE PARK GEORGIA,DATA ANALYST,"96,199","COLLEGE PARK, GA",04/28/2022,10/01/2022
1228,COMPUNNEL SOFTWARE GROUP INC,DATA ANALYST,"96,600","NEWARK, NJ",05/31/2022,05/31/2022
1229,SUPER MICRO COMPUTER INC,DATA ANALYST,"96,617","SAN JOSE, CA",10/20/2022,04/21/2023
1230,UBER TECHNOLOGIES INC,DATA ANALYST,"96,900","CHICAGO, IL",04/04/2022,04/11/2022
1231,COLUMBUS TECHNOLOGY SOLUTIONS INC,DATA ANALYST,"96,907","MCKINNEY, TX",06/30/2022,07/08/2022
1232,COLUMBUS TECHNOLOGY SOLUTIONS INC,DATA ANALYST,"96,907","IRVINE, CA",06/30/2022,07/08/2022
1233,FLUXTEK SOLUTIONS INC,DATA ANALYST,"96,907","IRVINE, CA",01/31/2022,02/07/2022
1234,COLUMBUS TECHNOLOGY SOLUTIONS INC,DATA ANALYST,"96,907","BREA, CA",06/30/2022,07/08/2022
1235,DRFIRSTCOM INC,DATA ANALYST,"97,000","ROCKVILLE, MD",12/21/2022,01/09/2023
1236,IMINDS TECHNOLOGY SYSTEMS INC,DATA ANALYST,"97,000","RESTON, VA",12/07/2022,01/02/2023
1237,V-SOFT CONSULTING GROUP INC,DATA ANALYST,"97,000","FALLS CHURCH, VA",11/14/2022,11/15/2022
1238,BARCLAYS BANK DELAWARE,DATA ANALYST,"97,000","WILMINGTON, DE",05/24/2022,10/01/2022
1239,INDIANA FARM BUREAU INSURANCE,DATA ANALYST,"97,601","INDIANAPOLIS, IN",03/22/2022,07/01/2022
1240,CY9 LLC,DATA ANALYST,"97,739","LEWISVILLE, TX",11/23/2022,12/05/2022
1241,APTLY TECHNOLOGY CORPORATION,DATA ANALYST,"97,760","BELLEVUE, WA",04/15/2022,10/01/2022
1242,EGEN SOLUTIONS INC,DATA ANALYST,"97,760","DUBLIN, OH",01/03/2022,01/24/2022
1243,EGEN SOLUTIONS INC,DATA ANALYST,"97,760","DUBLIN, OH",01/05/2022,01/12/2022
1244,SAPPHIRE SOFTWARE SOLUTIONS INC,DATA ANALYST,"98,000","FARMERS BRANCH, TX",11/23/2022,11/28/2022
1245,TECHNODEED LLC,DATA ANALYST,"98,000","DALLAS, TX",07/27/2022,08/08/2022
1246,CREOSPAN INC,DATA ANALYST,"98,000","IRVING, TX",10/28/2022,11/07/2022
1247,MOXIE IT SOLUTIONS,DATA ANALYST,"98,000","REDMOND, WA",06/11/2022,10/01/2022
1248,STRIPE INC,DATA ANALYST,"98,072","CHARLOTTE, NC",02/03/2022,02/28/2022
1249,TRIANGLE ENVIRONMENTAL SERVICE CENTER INC,DATA ANALYST,"98,134","SAN JOSE, CA",03/10/2022,08/27/2022
1250,SOYO SOFT INC,DATA ANALYST,"98,304","MCLEAN, VA",04/15/2022,10/01/2022
1251,VARIYAS GLOBAL SOLUTIONS INC,DATA ANALYST,"98,426","COLUMBIA, MD",05/18/2022,10/01/2022
1252,VARIYAS GLOBAL SOLUTIONS INC,DATA ANALYST,"98,426","COLUMBIA, MD",05/28/2022,10/01/2022
1253,SAVVY INFO SYSTEMS INC,DATA ANALYST,"98,550","PRINCETON, NJ",11/08/2022,11/21/2022
1254,VERVENEST TECHNOLOGIES INC,DATA ANALYST,"98,550","MCLEAN, VA",04/18/2022,04/22/2022
1255,DENKEN SOLUTIONS INC,DATA ANALYST,"98,550","RICHMOND, VA",04/23/2022,10/01/2022
1256,APPLIED THOUGHT AUDITORS AND CONSULTANTS INC,DATA ANALYST,"98,550","RESTON, VA",04/29/2022,08/06/2022
1257,APPLAB SYSTEMS INC,DATA ANALYST,"98,550","MCLEAN, VA",06/01/2022,06/07/2022
1258,APPLAB SYSTEMS INC,DATA ANALYST,"98,550","MCLEAN, VA",06/01/2022,06/07/2022
1259,DATALORE TECHNOLOGIES INC,DATA ANALYST,"98,550","STERLING, VA",06/02/2022,10/01/2022
1260,THINKBRQ LLC,DATA ANALYST,"98,700","SYOSSET, NY",04/28/2022,06/10/2022
1261,NEUTRONIT INC,DATA ANALYST,"98,904","DALLAS, TX",11/16/2022,11/23/2022
1262,SOLUTIONSOFT INC,DATA ANALYST,"99,000","MCLEAN, VA",04/27/2022,10/01/2022
1263,PROMETHEAN WORLD,DATA ANALYST,"99,008","SEATTLE, WA",04/28/2022,05/02/2022
1264,STRATEGIC BUSINESS DECISIONS CONSULTING LLC,DATA ANALYST,"99,008","REDMOND, WA",06/22/2022,06/22/2022
1265,AUTODESK INC,DATA ANALYST,"99,091","SAN FRANCISCO, CA",03/11/2022,08/15/2022
1266,AUTODESK INC,DATA ANALYST,"99,091","SAN FRANCISCO, CA",03/16/2022,08/15/2022
1267,DOXIMITY INC,DATA ANALYST,"99,091","SAN FRANCISCO, CA",04/04/2022,10/01/2022
1268,FUGE TECHNOLOGIES INC,DATA ANALYST,"99,091","PLEASANTON, CA",05/25/2022,10/01/2022
1269,COCOSOFT INC,DATA ANALYST,"99,091","SAN FRANCISCO, CA",05/26/2022,10/01/2022
1270,ANGAZA DESIGN INC,DATA ANALYST,"99,091","SAN FRANCISCO, CA",06/09/2022,10/01/2022
1271,INFOTECH SPECTRUM INC,DATA ANALYST,"99,091","SAN FRANCISCO, CA",06/12/2022,10/01/2022
1272,HAMAARA TECHNOLOGIES LLC,DATA ANALYST,"99,091","FREMONT, CA",06/15/2022,10/01/2022
1273,WISER SOLUTIONS INC,DATA ANALYST,"99,327","BOSTON, MA",04/13/2022,10/01/2022
1274,MOLOCO INC,DATA ANALYST,"99,486","REDWOOD CITY, CA",08/24/2022,09/12/2022
1275,INFOTECH SPECTRUM INC,DATA ANALYST,"99,500","SAN FRANCISCO, CA",06/12/2022,10/01/2022
1276,AFFINITY SOLUTIONS,DATA ANALYST,"99,840","MILFORD, CT",07/13/2022,07/14/2022
1277,ALTEK INC,DATA ANALYST,"99,840","WEST DES MOINES, IA",12/14/2022,01/02/2023
1278,ALTEK INC,DATA ANALYST,"99,840","WEST DES MOINES, IA",12/14/2022,12/21/2022
1279,ALTEK INC,DATA ANALYST,"99,840","WEST DES MOINES, IA",12/14/2022,01/02/2023
1280,TEKSTAD INC,DATA ANALYST,"100,000","RICHMOND, VA",12/06/2022,12/06/2022
1281,LASAI TECHNOLOGIES LLC,DATA ANALYST,"100,000","BELLEVUE, WA",08/12/2022,08/12/2022
1282,IMR SOFT LLC,DATA ANALYST,"100,000","ARLINGTON HEIGHTS, IL",10/11/2022,10/31/2022
1283,BESHTON SOFTWARE INC,DATA ANALYST,"100,000","SAN JOSE, CA",11/01/2022,11/15/2022
1284,TEKSTROM INC,DATA ANALYST,"100,000","IRVINE, CA",10/27/2022,11/04/2022
1285,OPTUM SERVICES INC,DATA ANALYST,"100,000","EDEN PRAIRIE, MN",03/08/2022,03/14/2022
1286,CBRE INC,DATA ANALYST,"100,000","PALO ALTO, CA",03/08/2022,09/02/2022
1287,ESALONCOM LLC,DATA ANALYST,"100,000","EL SEGUNDO, CA",03/09/2022,09/07/2022
1288,ASSETMARK FINANCIAL HOLDINGS INC,DATA ANALYST,"100,000","CONCORD, CA",03/18/2022,09/15/2022
1289,FUELCOMM INC,DATA ANALYST,"100,000","SEATTLE, WA",03/18/2022,08/14/2022
1290,QUANTBOT TECHNOLOGIES LP,DATA ANALYST,"100,000","NEW YORK, NY",04/11/2022,10/01/2022
1291,CARDLYTICS INC,DATA ANALYST,"100,000","MOUNT LAUREL TOWNSHIP, NJ",02/22/2022,08/24/2022
1292,GRAND CIRCLE LLC,DATA ANALYST,"100,000","BOSTON, MA",03/01/2022,08/01/2022
1293,IMR SOFT LLC,DATA ANALYST,"100,000","ARLINGTON HEIGHTS, IL",10/10/2022,10/31/2022
1294,OUTMATCH INC,DATA ANALYST,"100,000","RAHWAY, NJ",04/22/2022,10/01/2022
1295,PPG INDUSTRIES INC,DATA ANALYST,"100,000","JERSEY CITY, NJ",04/26/2022,10/01/2022
1296,NATERA INC,DATA ANALYST,"100,000","BOSTON, MA",04/28/2022,10/01/2022
1297,LIVEX LIGHTING INC,DATA ANALYST,"100,000","RIVERVIEW, FL",05/05/2022,05/18/2022
1298,CBRE INC,DATA ANALYST,"100,000","PALO ALTO, CA",05/09/2022,10/01/2022
1299,NEW YORK TECHNOLOGY PARTNERS INC,DATA ANALYST,"100,000","SAN ANTONIO, TX",05/17/2022,05/25/2022
1300,THIRDLOVE INC,DATA ANALYST,"100,000","SAN FRANCISCO, CA",05/19/2022,10/01/2022
1301,SCIPHER MEDICINE CORPORATION,DATA ANALYST,"100,000","WALTHAM, MA",06/07/2022,10/01/2022
1302,TITAN DATA GROUP INC,DATA ANALYST,"100,000","SAINT PAUL, MN",06/09/2022,10/01/2022
1303,TITAN DATA GROUP INC,DATA ANALYST,"100,000","SAINT PAUL, MN",06/11/2022,10/01/2022
1304,S3VISION INC,DATA ANALYST,"100,000","OAKLAND, CA",06/17/2022,06/29/2022
1305,PULSEPOINT INC,DATA ANALYST,"100,000","NEW YORK, NY",05/17/2022,05/20/2022
1306,UNISOFT SOLUTIONS LLC,DATA ANALYST,"100,091","SAN JUAN CAPISTRANO,, CA",01/31/2022,01/31/2022
1307,LENOVO (UNITED STATES) INC,DATA ANALYST,"100,200","MORRISVILLE, NC",03/08/2022,08/21/2022
1308,RADCOM SOFTWARE SERVICES LLC,DATA ANALYST,"100,235","STERLING, VA",12/08/2022,12/16/2022
1309,POINT72 LP,DATA ANALYST,"100,443","NEW YORK, NY",03/31/2022,09/18/2022
1310,GRANT LEADING TECHNOLOGY LLC,DATA ANALYST,"100,500","HERNDON, VA",07/11/2022,07/18/2022
1311,COLLABERA INC,DATA ANALYST,"100,500","BASKING RIDGE, NJ",03/16/2022,08/26/2022
1312,SMARTSHEET INC,DATA ANALYST,"101,000","BELLEVUE, WA",04/13/2022,10/01/2022
1313,TRELLANCE INC,DATA ANALYST,"101,130","TAMPA, FL",06/21/2022,06/24/2022
1314,CHEMINTECH LLC,DATA ANALYST,"101,358","BELLEVUE, WA",08/02/2022,08/09/2022
1315,PROFUSION SYSTEMS INC,DATA ANALYST,"101,400","SEATTLE, WA",07/16/2022,07/26/2022
