,EMPLOYER,JOB TITLE,BASE SALARY,LOCATION,SUBMIT DATE,START DATE
73,XENONINFOTEK INC,DATA ANALYST,"75,480","RICHMOND, VA",04/11/2022,10/01/2022
74,ICONMA LLC,DATA ANALYST,"75,480","RICHMOND, VA",04/12/2022,10/01/2022
75,ICONMA LLC,DATA ANALYST,"75,480","RICHMOND, VA",04/13/2022,10/01/2022
76,ICONMA LLC,DATA ANALYST,"75,480","HENRICO, VA",01/21/2022,01/21/2022
77,ICONMA LLC,DATA ANALYST,"75,480","RICHMOND, VA",02/11/2022,02/11/2022
78,XENONINFOTEK INC,DATA ANALYST,"75,480","RICHMOND, VA",02/28/2022,02/28/2022
79,ICONMA LLC,DATA ANALYST,"75,480","RICHMOND, VA",04/25/2022,10/01/2022
80,ICONMA LLC,DATA ANALYST,"75,480","RICHMOND, VA",04/29/2022,10/01/2022
81,ICONMA LLC,DATA ANALYST,"75,480","RICHMOND, VA",05/23/2022,10/01/2022
82,CALIFORNIA CREATIVE SOLUTIONS INC,DATA ANALYST,"75,540","BOTHELL, WA",04/22/2022,10/01/2022
83,CALIFORNIA CREATIVE SOLUTIONS INC,DATA ANALYST,"75,540","BOTHELL, WA",04/27/2022,10/01/2022
84,BANKING SOFT SOLUTIONS LLC,DATA ANALYST,"75,820","LEWIS CENTER, OH",04/27/2022,10/01/2022
85,LTS ASSOCIATE INC,DATA ANALYST,"75,900","NEWARK, CA",03/29/2022,09/02/2022
86,LTS ASSOCIATE INC,DATA ANALYST,"75,900","ALAMEDA, CA",03/30/2022,09/02/2022
87,TECHNOVA SYSTEMS INC,DATA ANALYST,"76,000","ARLINGTON HEIGHTS, IL",05/23/2022,10/01/2022
88,COGNOWIZ LLC,DATA ANALYST,"76,000","RICHMOND, VA",06/15/2022,10/01/2022
89,COGNOWIZ LLC,DATA ANALYST,"76,000","RICHMOND, VA",06/21/2022,10/01/2022
90,CALIFORNIA CREATIVE SOLUTIONS INC,DATA ANALYST,"76,280","LAFAYETTE, CO",03/04/2022,03/16/2022
91,ASCII GROUP LLC,DATA ANALYST,"77,080","FARMINGTON, MI",06/22/2022,10/01/2022
92,EPITEC INC,DATA ANALYST,"77,100","TROY, MI",01/07/2022,01/09/2022
93,SAITECH CORP,DATA ANALYST,"78,000","TOPEKA, KS",06/15/2022,10/01/2022
94,DISQO INC,DATA ANALYST,"79,000","ARCADIA, CA",03/22/2022,03/25/2022
95,HCL GLOBAL SYSTEMS INC,DATA ANALYST,"79,280","STAMFORD, CT",06/06/2022,10/01/2022
96,GRAPHIKA TECHNOLOGIES INC,DATA ANALYST,"79,300","WASHINGTON D.C., DC",05/02/2022,10/01/2022
97,ICONMA LLC,DATA ANALYST,"79,300","MCLEAN, VA",05/23/2022,10/01/2022
98,POPULUS GROUP LLC,DATA ANALYST,"79,300","WASHINGTON D.C, DC",06/09/2022,10/01/2022
99,VALMARC CORPORATION,DATA ANALYST,"79,380","NEEDHAM, MA",08/29/2022,09/06/2022
100,ICONMA LLC,DATA ANALYST,"79,740","RICHMOND, VA",09/09/2022,09/09/2022
